2025-08-23 13:00:27,638:INFO:Device: cuda
2025-08-23 13:03:31,478:INFO:Epoch 2050: Train Loss: 0.0030, Val Loss: 0.0050, Dyn Loss: 0.0030, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:03:42,044:INFO:Epoch 2100: Train Loss: 0.0029, Val Loss: 0.0051, Dyn Loss: 0.0029, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:03:45,872:INFO:Epoch 2150: Train Loss: 0.0028, Val Loss: 0.0051, Dyn Loss: 0.0028, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:03:49,628:INFO:Epoch 2200: Train Loss: 0.0026, Val Loss: 0.0050, Dyn Loss: 0.0026, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:04:00,386:INFO:Epoch 2250: Train Loss: 0.0026, Val Loss: 0.0048, Dyn Loss: 0.0026, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:04:04,171:INFO:Epoch 2300: Train Loss: 0.0025, Val Loss: 0.0049, Dyn Loss: 0.0025, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:04:08,044:INFO:Epoch 2350: Train Loss: 0.0024, Val Loss: 0.0049, Dyn Loss: 0.0024, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:04:11,876:INFO:Epoch 2400: Train Loss: 0.0023, Val Loss: 0.0047, Dyn Loss: 0.0023, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:04:15,705:INFO:Epoch 2450: Train Loss: 0.0023, Val Loss: 0.0048, Dyn Loss: 0.0023, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:04:19,624:INFO:Epoch 2500: Train Loss: 0.0022, Val Loss: 0.0047, Dyn Loss: 0.0022, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:04:23,436:INFO:Epoch 2550: Train Loss: 0.0022, Val Loss: 0.0047, Dyn Loss: 0.0022, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:04:27,222:INFO:Epoch 2600: Train Loss: 0.0021, Val Loss: 0.0045, Dyn Loss: 0.0021, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:04:31,057:INFO:Epoch 2650: Train Loss: 0.0020, Val Loss: 0.0046, Dyn Loss: 0.0020, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:04:34,895:INFO:Epoch 2700: Train Loss: 0.0019, Val Loss: 0.0046, Dyn Loss: 0.0019, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:04:38,697:INFO:Epoch 2750: Train Loss: 0.0019, Val Loss: 0.0045, Dyn Loss: 0.0019, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:04:49,284:INFO:Epoch 2800: Train Loss: 0.0019, Val Loss: 0.0045, Dyn Loss: 0.0019, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:04:53,065:INFO:Epoch 2850: Train Loss: 0.0018, Val Loss: 0.0044, Dyn Loss: 0.0018, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:04:56,979:INFO:Epoch 2900: Train Loss: 0.0018, Val Loss: 0.0043, Dyn Loss: 0.0018, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:05:00,836:INFO:Epoch 2950: Train Loss: 0.0017, Val Loss: 0.0043, Dyn Loss: 0.0017, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:05:04,625:INFO:Epoch 3000: Train Loss: 0.0017, Val Loss: 0.0042, Dyn Loss: 0.0017, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:05:08,481:INFO:Epoch 3050: Train Loss: 0.0016, Val Loss: 0.0042, Dyn Loss: 0.0016, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:05:12,403:INFO:Epoch 3100: Train Loss: 0.0016, Val Loss: 0.0041, Dyn Loss: 0.0016, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:05:16,148:INFO:Epoch 3150: Train Loss: 0.0015, Val Loss: 0.0040, Dyn Loss: 0.0015, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:05:21,623:INFO:Epoch 3200: Train Loss: 0.0015, Val Loss: 0.0041, Dyn Loss: 0.0015, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:05:25,542:INFO:Epoch 3250: Train Loss: 0.0015, Val Loss: 0.0040, Dyn Loss: 0.0015, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:05:29,373:INFO:Epoch 3300: Train Loss: 0.0014, Val Loss: 0.0040, Dyn Loss: 0.0014, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:05:40,488:INFO:Epoch 3350: Train Loss: 0.0014, Val Loss: 0.0039, Dyn Loss: 0.0014, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:05:44,272:INFO:Epoch 3400: Train Loss: 0.0014, Val Loss: 0.0039, Dyn Loss: 0.0014, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:05:48,128:INFO:Epoch 3450: Train Loss: 0.0013, Val Loss: 0.0039, Dyn Loss: 0.0013, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:05:52,058:INFO:Epoch 3500: Train Loss: 0.0013, Val Loss: 0.0038, Dyn Loss: 0.0013, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:05:55,962:INFO:Epoch 3550: Train Loss: 0.0013, Val Loss: 0.0037, Dyn Loss: 0.0013, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:05:59,860:INFO:Epoch 3600: Train Loss: 0.0012, Val Loss: 0.0037, Dyn Loss: 0.0012, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:06:03,707:INFO:Epoch 3650: Train Loss: 0.0012, Val Loss: 0.0036, Dyn Loss: 0.0012, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:06:07,440:INFO:Epoch 3700: Train Loss: 0.0012, Val Loss: 0.0036, Dyn Loss: 0.0012, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:06:11,264:INFO:Epoch 3750: Train Loss: 0.0012, Val Loss: 0.0036, Dyn Loss: 0.0012, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:06:15,181:INFO:Epoch 3800: Train Loss: 0.0011, Val Loss: 0.0036, Dyn Loss: 0.0011, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:06:18,969:INFO:Epoch 3850: Train Loss: 0.0011, Val Loss: 0.0036, Dyn Loss: 0.0011, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:06:29,641:INFO:Epoch 3900: Train Loss: 0.0011, Val Loss: 0.0036, Dyn Loss: 0.0011, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:06:33,446:INFO:Epoch 3950: Train Loss: 0.0011, Val Loss: 0.0035, Dyn Loss: 0.0011, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:06:37,384:INFO:Epoch 4000: Train Loss: 0.0011, Val Loss: 0.0035, Dyn Loss: 0.0011, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:06:41,270:INFO:Epoch 4050: Train Loss: 0.0010, Val Loss: 0.0034, Dyn Loss: 0.0010, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:06:45,092:INFO:Epoch 4100: Train Loss: 0.0010, Val Loss: 0.0035, Dyn Loss: 0.0010, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:06:48,912:INFO:Epoch 4150: Train Loss: 0.0010, Val Loss: 0.0035, Dyn Loss: 0.0010, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:06:52,664:INFO:Epoch 4200: Train Loss: 0.0010, Val Loss: 0.0034, Dyn Loss: 0.0010, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:06:56,549:INFO:Epoch 4250: Train Loss: 0.0010, Val Loss: 0.0034, Dyn Loss: 0.0010, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:07:06,202:INFO:Epoch 4300: Train Loss: 0.0010, Val Loss: 0.0034, Dyn Loss: 0.0010, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:07:10,029:INFO:Epoch 4350: Train Loss: 0.0010, Val Loss: 0.0034, Dyn Loss: 0.0010, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:07:13,807:INFO:Epoch 4400: Train Loss: 0.0009, Val Loss: 0.0033, Dyn Loss: 0.0009, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:07:25,050:INFO:Epoch 4450: Train Loss: 0.0009, Val Loss: 0.0033, Dyn Loss: 0.0009, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:07:28,983:INFO:Epoch 4500: Train Loss: 0.0009, Val Loss: 0.0032, Dyn Loss: 0.0009, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:07:32,834:INFO:Epoch 4550: Train Loss: 0.0009, Val Loss: 0.0033, Dyn Loss: 0.0009, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:07:36,752:INFO:Epoch 4600: Train Loss: 0.0009, Val Loss: 0.0033, Dyn Loss: 0.0009, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:07:40,579:INFO:Epoch 4650: Train Loss: 0.0008, Val Loss: 0.0032, Dyn Loss: 0.0008, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:07:44,458:INFO:Epoch 4700: Train Loss: 0.0008, Val Loss: 0.0032, Dyn Loss: 0.0008, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:07:48,343:INFO:Epoch 4750: Train Loss: 0.0008, Val Loss: 0.0032, Dyn Loss: 0.0008, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:07:52,114:INFO:Epoch 4800: Train Loss: 0.0008, Val Loss: 0.0032, Dyn Loss: 0.0008, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:07:57,796:INFO:Epoch 4850: Train Loss: 0.0008, Val Loss: 0.0031, Dyn Loss: 0.0008, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:08:01,637:INFO:Epoch 4900: Train Loss: 0.0008, Val Loss: 0.0031, Dyn Loss: 0.0008, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:08:05,550:INFO:Epoch 4950: Train Loss: 0.0008, Val Loss: 0.0031, Dyn Loss: 0.0008, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:08:16,923:INFO:Epoch 5000: Train Loss: 0.0008, Val Loss: 0.0031, Dyn Loss: 0.0008, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:08:20,765:INFO:Epoch 5050: Train Loss: 0.0008, Val Loss: 0.0031, Dyn Loss: 0.0008, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:08:24,685:INFO:Epoch 5100: Train Loss: 0.0007, Val Loss: 0.0030, Dyn Loss: 0.0007, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:08:28,593:INFO:Epoch 5150: Train Loss: 0.0007, Val Loss: 0.0030, Dyn Loss: 0.0007, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:08:32,471:INFO:Epoch 5200: Train Loss: 0.0007, Val Loss: 0.0032, Dyn Loss: 0.0007, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:08:36,278:INFO:Epoch 5250: Train Loss: 0.0007, Val Loss: 0.0030, Dyn Loss: 0.0007, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:08:40,200:INFO:Epoch 5300: Train Loss: 0.0007, Val Loss: 0.0029, Dyn Loss: 0.0007, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:08:44,055:INFO:Epoch 5350: Train Loss: 0.0007, Val Loss: 0.0031, Dyn Loss: 0.0007, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:08:47,913:INFO:Epoch 5400: Train Loss: 0.0007, Val Loss: 0.0030, Dyn Loss: 0.0007, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
